,si_no,head,date,time,place,complainant_vehicle,opposite_vehicle,male_injury,female_injury,male_fatal,female_fatal,total_cases,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,male _fatal,...23,...24,...25
1008,13,Injury,01-03-2021 00:00,19.3,T. Pudhur,Pedestrian,Bus,1,NA,NA,NA,0,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,16,Injury,29-03-2021 00:00,19,T.Pudhur,Pedestrian,Two Wheeler,1,2,NA,NA,0,33,NA,57,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,29,Fatal,09-05-2021 00:00,11.45,Thomparagampatti,Two Wheeler,Lorry,NA,NA,2,NA,2,NA,NA,NA,29,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,27,Injury,04-04-2021 00:00,8.3,Thoppur,Two Wheeler,Car,1,NA,NA,NA,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1012,6,Injury,27-01-2021 00:00,21,Thoppur,Lorry,Loorry,NA,1,NA,NA,0,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1013,14,Injury,14-03-2021 00:00,23.3,Thoppur  Forest,Lorry,Unknown Vehicle,1,NA,NA,NA,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1014,19,Injury,17-04-2021 00:00,16,Thoppur Jn,Two Wheeler,Lorry,1,NA,NA,NA,0,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1015,31,Injury,03-05-2021 00:00,14.4,Toll Gate,Two Wheeler,Lorry,NA,1,NA,NA,0,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1016,24,Injury,01-04-2021 00:00,9.3,Tollgate,Two Wheeler,Jcb,1,NA,NA,NA,0,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1017,1,Injury,05-01-2021 00:00,20.3,Ummiyampatti Road,Two Wheeler,Two Wheeler,1,1,NA,NA,0,39,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1018,10,Injury,14-02-2021 00:00,7.45,Vellakkal,Two Wheeler,Fixed Object,2,NA,NA,NA,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1019,5,Injury,25-01-2021 00:00,15.3,Vellakkal,Self Fall,Two Wheeler,1,NA,NA,NA,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
